"Details 10.176.8.251 ","c111zcj.tlr.thomson.com ","Does not respond to ping (since 121412)"
"Details 10.185.3.8 ","eccrg.mgmt.tlrg.com ","This IP's assignment information does not match DNS or ServiceManager (since 062713)"
"Details 10.204.7.69 ","eg-cpstst-sql1.tlr.thomson.com ","This IP's assignment information does not match DNS or ServiceManager (since 081213)"
"Details 10.213.47.225 ","RA_EG-CSHSQL-A01 ","Does not respond to ping (since 050413)"
"Details 10.215.11.91 ","EG-WRCSQL-A34M ","Does not respond to ping (since 042113)"
"Details 10.215.11.95 ","EG-WRCSQL-A34R ","Does not respond to ping (since 042113)"
"Details 10.219.10.21 ","LSD-BLADE01 ","This IP's assignment information does not match DNS or ServiceManager (since 080713)"
"Details 10.219.10.31 ","lcssvr1 ","This IP's assignment information does not match DNS or ServiceManager (since 080713)"
"Details 10.219.10.32 ","lcsdir1 ","This IP's assignment information does not match DNS or ServiceManager (since 080713)"
"Details 10.219.10.46 ","TWSPSRV2 ","This IP's assignment information does not match DNS or ServiceManager (since 080713)"
"Details 10.221.3.247 ","c998gttblsql.ecom.tlrg.com ","This IP's ServiceManager entry does not match the ServiceManager entry corresponding to the DNS name (since 080713)"
"Details 10.222.122.89 ","ANDRE ","Does not respond to ping (since 061112)"
"Details 10.222.122.97 ","PROD01 ","Does not respond to ping (since 111212)"
"Details 10.222.122.98 ","PROD02 ","Does not respond to ping (since 111712)"
"Details 10.225.20.5 ","tlrielkhubweb07.hubbardhost.com ","This IP's assignment information does not match DNS or ServiceManager (since 031913)"
"Details 10.225.20.6 ","tlrielkhubweb08.hubbardhost.com ","This IP's assignment information does not match DNS or ServiceManager (since 031913)"
"Details 163.231.95.64 ","EG-GSIFS-B03 ","Does not respond to ping (since 092712)"
"Details 167.68.150.6 ","eg-lwschl-a37.ecom.tlrg.com ","This IP's ServiceManager entry does not match the ServiceManager entry corresponding to the DNS name (since 080713)"
"Details 167.68.164.173 ","EG-HBRSQL-B58 ","Does not respond to ping (since 042813)"
"Details 167.68.164.215 ","eg-hbrsql-b55c ","Does not respond to ping (since 042813)"
"Details 167.68.164.216 ","eg-hbrsql-b55r ","Does not respond to ping (since 042813)"
"Details 167.68.164.217 ","eg-hbrsql-b55m ","Does not respond to ping (since 042813)"
"Details 167.68.164.218 ","eg-hbrsql-b57c ","Does not respond to ping (since 042813)"
"Details 167.68.164.219 ","eg-hbrsql-b57r ","Does not respond to ping (since 042813)"
"Details 167.68.164.220 ","eg-hbrsql-b57m ","Does not respond to ping (since 042813)"
"Details 167.68.180.168 ","eg-hbrsql-a51c ","Does not respond to ping (since 042113)"
"Details 167.68.180.180 ","eg-hbrsql-a51r ","Does not respond to ping (since 042113)"
"Details 167.68.180.192 ","eg-hbrsql-a51m ","Does not respond to ping (since 042113)"
"Details 167.68.180.193 ","eg-hbrsql-a53c ","Does not respond to ping (since 042113)"
"Details 167.68.180.194 ","eg-hbrsql-a53r ","Does not respond to ping (since 042113)"
"Details 167.68.180.195 ","eg-hbrsql-a53m ","Does not respond to ping (since 042113)"
"Details 167.68.238.215 ","eg-cardcc-a11 ","Does not respond to ping (since 032813)"
"Details 167.68.238.228 ","eg-cardcc-a12 ","Does not respond to ping (since 032813)"
